Phenotype,HGNC
{Type 2 diabetes mellitus},IL6
D-2-hydroxyglutaric aciduria 2,IDH2
"Interferon, alpha, deficiency",IFNA1
"Diabetes mellitus, insulin-resistant, with acanthosis nigricans",INSR
Donohue syndrome,INSR
"Hyperinsulinemic hypoglycemia, familial, 5",INSR
Rabson-Mendenhall syndrome,INSR
{Gastric cancer risk after H. pylori infection},"IL1RN,IL1B"
{Microvascular complications of diabetes 4},IL1RN
"Chronic recurrent multifocal osteomyelitis 2, with periostitis and pustulosis",IL1RN
Interleukin 1 receptor antagonist deficiency,IL1RN
"{Allergic rhinitis, susceptibility to}",IL13
"{Glioma, susceptibility to, somatic}",IDH1
"{Diabetes, mellitus, insulin-dependent, susceptibility to, 10}",IL2RA
Immunodeficiency 41 with lymphoproliferation and autoimmunity,IL2RA
"Autoinflammation, immune dysregulation, and eosinophilia",JAK1
"{Budd-Chiari syndrome, somatic}",JAK2
"Erythrocytosis, somatic","JAK2,SH2B3"
"Polycythemia vera, somatic",JAK2
Thrombocythemia 3,JAK2
?Chronic recurrent multifocal osteomyelitis 3,IL1R1
"{Malaria, cerebral, susceptibility to}","ICAM1,CD36,TNF"
"[Interleukin 6, serum level of, QTL]",IL6R
"[Interleukin-6 receptor, soluble, serum level of, QTL]",IL6R
"Hyper-IgE syndrome 5, autosomal recessive, with recurrent infections",IL6R
"Thyroid hormone metabolism, abnormal, 2",DIO1
"[Kallikrein, decreased urinary activity of]",KLK1
Dowling-Degos disease 1,KRT5
"Epidermolysis bullosa simplex 2A, generalized severe",KRT5
"Epidermolysis bullosa simplex 2B, generalized intermediate",KRT5
"Epidermolysis bullosa simplex 2C, localized",KRT5
"Epidermolysis bullosa simplex 2D, generalized, intermediate or severe, autosomal recessive",KRT5
"Epidermolysis bullosa simplex 2E, with migratory circinate erythema",KRT5
"Epidermolysis bullosa simplex 2F, with mottled pigmentation",KRT5
Pachyonychia congenita 3,KRT6A
Pachyonychia congenita 4,KRT6B
Meesmann corneal dystrophy 2,KRT3
White sponge nevus 2,KRT13
Dermatopathia pigmentosa reticularis,KRT14
"Epidermolysis bullosa simplex 1A, generalized severe",KRT14
"Epidermolysis bullosa simplex 1B, generalized intermediate",KRT14
"Epidermolysis bullosa simplex 1C, localized",KRT14
"Epidermolysis bullosa simplex 1D, generalized, intermediate or severe, autosomal recessive",KRT14
Naegeli-Franceschetti-Jadassohn syndrome,KRT14
Pachyonychia congenita 1,KRT16
"Palmoplantar keratoderma, nonepidermolytic, focal",KRT16
Pachyonychia congenita 2,KRT17
Steatocystoma multiplex,KRT17
"{Cirrhosis, noncryptogenic, susceptibility to}",KRT18
"Cirrhosis, cryptogenic",KRT18
"?Ichthyosis histrix, Lambert type",KRT10
Epidermolytic hyperkeratosis 2,KRT10
Ichthyosis with confetti,KRT10
"Ichthyosis, annular epidermolytic 1",KRT10
"Microcephaly with or without chorioretinopathy, lymphedema, or impaired intellectual development",KIF11
Glycogen storage disease XI,LDHA
[Lactate dehydrogenase-B deficiency],LDHB
[Placental lactogen deficiency],CSH1
Lissencephaly 5,LAMB1
"Epidermolysis bullosa, junctional 3A, intermediate",LAMC2
"Epidermolysis bullosa, junctional 3B, severe",LAMC2
"Amelogenesis imperfecta, type IA",LAMB3
"Epidermolysis bullosa, junctional 1A, intermediate",LAMB3
"Epidermolysis bullosa, junctional 1B, severe",LAMB3
Poretti-Boltshauser syndrome,LAMA1
"Nephrotic syndrome, type 5, with or without ocular abnormalities",LAMB2
Pierson syndrome,LAMB2
"Cardiomyopathy, dilated, 1A",LMNA
"Charcot-Marie-Tooth disease, type 2B1",LMNA
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",LMNA
"Emery-Dreifuss muscular dystrophy 3, autosomal recessive",LMNA
"Heart-hand syndrome, Slovenian type",LMNA
Hutchinson-Gilford progeria,LMNA
"Lipodystrophy, familial partial, type 2",LMNA
Malouf syndrome,LMNA
Mandibuloacral dysplasia,LMNA
"Muscular dystrophy, congenital",LMNA
Restrictive dermopathy 2,LMNA
"Leukodystrophy, adult-onset, autosomal dominant",LMNB1
"Microcephaly 26, primary, autosomal dominant",LMNB1
"?Epilepsy, progressive myoclonic, 9",LMNB2
"{Lipodystrophy, partial, acquired, susceptibility to}",LMNB2
"Microcephaly 27, primary, autosomal dominant",LMNB2
"Asplenia, isolated congenital",RPSA
"Cutis laxa, autosomal recessive, type IIE",LTBP1
?Infantile liver failure syndrome 1,LARS1
"Leukemia, acute myeloid","RUNX1,LPP,SH3GL1,MLLT10"
"Platelet disorder, familial, with associated myeloid malignancy",RUNX1
"Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic",BCR
"Leukemia, chronic myeloid, Philadelphia chromosome positive, somatic",BCR
"Leukemia/lymphoma, B-cell, 2",BCL2
"Leukemia, T-cell acute lymphoblastoid",LYL1
Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome,LIFR
"Immunodeficiency 105, severe combined",PTPRC
[High density lipoprotein cholesterol level QTL 12],LIPC
Hepatic lipase deficiency,LIPC
"Lipodystrophy, familial partial, type 6",LIPE
"[LPA deficiency, congenital]",LPA
"{Asthma, diminished response to antileukotriene treatment in}",ALOX5
"{Atherosclerosis, susceptibility to}",ALOX5
"Thalassemia, Hispanic gamma-delta-beta",LCRB
Long QT syndrome 2,KCNH2
Short QT syndrome 1,KCNH2
Vohwinkel syndrome with ichthyosis,LORICRIN
?Hypogonadotropic hypogonadism 12 with or without anosmia,GNRH1
Hypogonadotropic hypogonadism 23 with or without anosmia,LHB
"Leydig cell adenoma, somatic, with precocious puberty",LHCGR
Leydig cell hypoplasia with hypergonadotropic hypogonadism,LHCGR
Leydig cell hypoplasia with pseudohermaphroditism,LHCGR
"Luteinizing hormone resistance, female",LHCGR
"Precocious puberty, male",LHCGR
"Sebaceous tumors, somatic",LEF1
?Immunodeficiency 22,LCK
"{Leprosy, susceptibility to, 4}",LTA
"{Psoriatic arthritis, susceptibility to}",LTA
"Amyloidosis, renal",LYZ
"Ehlers-Danlos syndrome, kyphoscoliotic type, 1",PLOD1
"Aortic aneurysm, familial thoracic 10",LOX
"{Exfoliation syndrome, susceptibility to}",LOXL1
"{Rheumatoid arthritis, systemic juvenile, susceptibility to}",MIF
Barrett esophagus/esophageal adenocarcinoma,"MSR1,CTHRC1,ASCC1"
"Cataract 19, multiple types",LIM2
"Cataract 15, multiple types",MIP
Developmental and epileptic encephalopathy 51,MDH2
?Developmental and epileptic encephalopathy 88,MDH1
Retinitis pigmentosa 62,MAK
"{Chronic infections, due to MBL deficiency}",MBL2
"Congenital disorder of glycosylation, type Ib",MPI
Congenital disorder of deglycosylation 2,MAN2C1
Keutel syndrome,MGP
"{Pheochromocytoma, susceptibility to}","MAX,TMEM127"
"{Obesity, severe, susceptibility to, BMIQ9}",MC3R
"{Obesity, resistance to (BMIQ20)}",MC4R
Obesity (BMIQ20),MC4R
"[Analgesia from kappa-opioid receptor agonist, female-specific]",MC1R
"[Skin/hair/eye pigmentation 2, blond hair/fair skin]",MC1R
"[Skin/hair/eye pigmentation 2, red hair/fair skin]",MC1R
"{Albinism, oculocutaneous, type II, modifier of}",MC1R
"{Melanoma, cutaneous malignant, 5}",MC1R
{UV-induced skin damage},MC1R
"?Spondyloepiphyseal dysplasia, Kimberley type",ACAN
"Short stature and advanced bone age, with or without early-onset osteoarthritis and/or osteochondritis dissecans",ACAN
"Spondyloepimetaphyseal dysplasia, aggrecan type",ACAN
CEBALID syndrome,MN1
Meningioma,MN1
"Muscular dystrophy, congenital, merosin deficient or partially deficient",LAMA2
"Muscular dystrophy, limb-girdle, autosomal recessive 23",LAMA2
Diaphyseal medullary stenosis with malignant fibrous histiocytoma,MTAP
"?Trichothiodystrophy 9, nonphotosensitive",MARS1
"Charcot-Marie-Tooth disease, axonal, type 2U",MARS1
Interstitial lung and liver disease,MARS1
"Spastic paraplegia 70, autosomal recessive",MARS1
"{Neural tube defects, folate-sensitive, susceptibility to}","MTR,MTHFD1,MTRR"
"Homocystinuria-megaloblastic anemia, cblG complementation type",MTR
"{Melanoma, cutaneous malignant, susceptibility to, 8}","MITF,TYR"
COMMAD syndrome,MITF
Tietz albinism-deafness syndrome,MITF
"Waardenburg syndrome, type 2A",MITF
"?Deafness, autosomal dominant 83",MAP1B
Periventricular nodular heterotopia 9,MAP1B
"Dementia, frontotemporal, with or without parkinsonism",MAPT
"Supranuclear palsy, progressive",MAPT
"Supranuclear palsy, progressive atypical",MAPT
"{Prostate cancer, hereditary, 13}",MSMB
Abetalipoproteinemia,MTTP
"Mitochondrial complex I deficiency, nuclear type 5",NDUFS1
Anauxetic dysplasia 1,RMRP
Cartilage-hair hypoplasia,RMRP
Metaphyseal dysplasia without hypotrichosis,RMRP
"{Coronary artery disease, modifier of}",CCL2
"{HIV-1, resistance to}",CCL2
"{Mycobacterium tuberculosis, susceptibility to}","CCL2,TLR2,SP110,CD209"
"{Spina bifida, susceptibility to}",CCL2
"Tubulointerstitial kidney disease, autosomal dominant, 2",MUC1
"?Deafness, autosomal dominant 77",ABCC1
"{Asthma, protection against}",MUC7
"Basal ganglia calcification, idiopathic, 1",SLC20A2
"Charcot-Marie-Tooth disease, dominant intermediate D",MPZ
"Charcot-Marie-Tooth disease, type 1B",MPZ
"Charcot-Marie-Tooth disease, type 2I",MPZ
"Charcot-Marie-Tooth disease, type 2J",MPZ
"Hypomyelinating neuropathy, congenital, 2",MPZ
Roussy-Levy syndrome,"MPZ,PMP22"
"Spastic paraplegia 75, autosomal recessive",MAG
?Narcolepsy 7,MOG
"Myelofibrosis with myeloid metaplasia, somatic",MPL
Thrombocythemia 2,MPL
"Thrombocytopenia, congenital amegakaryocytic",MPL
Wiedemann-Steiner syndrome,KMT2A
Congenital myopathy 17,MYOD1
"Ophthalmoplegia, external, with rib and vertebral anomalies",MYF5
"Myopathy, sarcoplasmic body",MB
{Sick sinus syndrome 3},MYH6
Atrial septal defect 3,MYH6
"Cardiomyopathy, dilated, 1EE",MYH6
"Cardiomyopathy, hypertrophic, 14",MYH6
"Arthrogryposis, distal, type 2A (Freeman-Sheldon)",MYH3
"Arthrogryposis, distal, type 2B3 (Sheldon-Hall)",MYH3
"Contractures, pterygia, and spondylocarpostarsal fusion syndrome 1A",MYH3
"Contractures, pterygia, and spondylocarpotarsal fusion syndrome 1B",MYH3
Congenital myopathy 6 with ophthalmoplegia,MYH2
Carney complex variant,MYH8
Trismus-pseudocamptodactyly syndrome,MYH8
"Aortic aneurysm, familial thoracic 4",MYH11
Megacystis-microcolon-intestinal hypoperistalsis syndrome 2,MYH11
Visceral myopathy 2,MYH11
"Cardiomyopathy, dilated, 1S",MYH7
"Cardiomyopathy, hypertrophic, 1",MYH7
"Congenital myopathy 7A, myosin storage, autosomal dominant",MYH7
"Congenital myopathy 7B, myosin storage, autosomal recessive",MYH7
Laing distal myopathy,MYH7
Left ventricular noncompaction 5,MYH7
"?Atrial fibrillation, familial, 18",MYL4
"Deafness, autosomal dominant 17",MYH9
Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MYH9
"Griscelli syndrome, type 1",MYO5A
Congenital myopathy 14,MYL1
"Cardiomyopathy, hypertrophic, 10",MYL2
"Myopathy, myofibrillar, 12, infantile-onset, with cardiomyopathy",MYL2
"Cardiomyopathy, hypertrophic, 8",MYL3
"Arthrogryposis, distal, type 1B",MYBPC1
Congenital myopathy 16,MYBPC1
Lethal congenital contracture syndrome 4,MYBPC1
{?Breast cancer susceptibility},NQO2
"Mitochondrial complex I deficiency, nuclear type 4",NDUFV1
"Immunodeficiency 29, mycobacteriosis",IL12B
Arthrogryposis multiplex congenita 6,NEB
"Nemaline myopathy 2, autosomal recessive",NEB
"Neuropathy, hereditary sensory and autonomic, type V",NGF
"Retinal degeneration, autosomal recessive, clumped pigment type",NRL
Retinitis pigmentosa 27,NRL
"{Obesity, susceptibility to, BMIQ12}",PCSK1
Endocrinopathy due to proprotein convertase 1/3 deficiency,PCSK1
"{?Amyotrophic lateral sclerosis, susceptibility to}",NEFH
"Charcot-Marie-Tooth disease, axonal, type 2CC",NEFH
"Charcot-Marie-Tooth disease, dominant intermediate G",NEFL
"Charcot-Marie-Tooth disease, type 1F",NEFL
"Charcot-Marie-Tooth disease, type 2E",NEFL
Hypogonadotropic hypogonadism 10 with or without anosmia,TAC3
Hypogonadotropic hypogonadism 11 with or without anosmia,TACR3
?Hypogonadotropic hypogonadism 27 without anosmia,NHLH2
"Myelokathexis, isolated",CXCR4
WHIM syndrome 1,CXCR4
"Glaucoma 1, open angle, 1O",NTF4
"{Alzheimer disease, late-onset, susceptibility to}","NOS3,PLAU"
"{Coronary artery spasm 1, susceptibility to}",NOS3
"{Hypertension, pregnancy-induced}",NOS3
"{Hypertension, susceptibility to}",NOS3
"{Ischemic stroke, susceptibility to}",NOS3
{Placental abruption},NOS3
"Dementia, Lewy body","SNCA,SNCB"
Parkinson disease 1,SNCA
Parkinson disease 4,SNCA
?Orthostatic intolerance,SLC6A2
Malan syndrome,NFIX
Marshall-Smith syndrome,NFIX
Ectodermal dysplasia and immunodeficiency 2,NFKBIA
"Leukemia, acute promyelocytic, somatic","NUMA1,STAT5B"
"Pontocerebellar hypoplasia, type 8",CHMP1A
"Immunodeficiency, common variable, 12",NFKB1
"Immunodeficiency, common variable, 10",NFKB2
"Autoinflammatory disease, familial, Behcet-like-3",RELA
Amyotrophic lateral sclerosis 21,MATR3
?Inclusion body myopathy with early-onset Paget disease without frontotemporal dementia 3,HNRNPA1
"?Myopathy, distal, 3",HNRNPA1
Amyotrophic lateral sclerosis 20,HNRNPA1
Immunodeficiency due to purine nucleoside phosphorylase deficiency,PNP
"Obesity, morbid, due to leptin deficiency",LEP
Immunodeficiency 100 with pulmonary alveolar proteinosis and hypogammaglobulinemia,OAS1
?Combined oxidative phosphorylation deficiency 22,ATP5F1A
"?Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4B, encephalopathic type",ATP5F1A
"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4A",ATP5F1A
Cowden syndrome 6,AKT1
"Proteus syndrome, somatic",AKT1
"Diabetes mellitus, type II",AKT2
Hypoinsulinemic hypoglycemia with hemihypertrophy,AKT2
"Adenocarcinoma of lung, somatic","BRAF,ERBB2,PRKN"
Cardiofaciocutaneous syndrome,BRAF
LEOPARD syndrome 3,BRAF
"Melanoma, malignant, somatic","BRAF,STK11"
Noonan syndrome 7,BRAF
"Cardiomyopathy, dilated, 1NN",RAF1
LEOPARD syndrome 2,RAF1
Noonan syndrome 5,RAF1
"{Hirschsprung disease, protection against}",RET
"{Hirschsprung disease, susceptibility to, 1}",RET
Medullary thyroid carcinoma,RET
Multiple endocrine neoplasia IIA,RET
Multiple endocrine neoplasia IIB,RET
Pheochromocytoma,"RET,VHL"
"Brain abnormalities, neurodegeneration, and dysosteosclerosis",CSF1R
"Leukoencephalopathy, diffuse hereditary, with spheroids 1",CSF1R
Shprintzen-Goldberg syndrome,SKI
?Lessel-Kubisch syndrome,MDM2
"{Accelerated tumor formation, susceptibility to}",MDM2
"?RAS-associated autoimmune lymphoproliferative syndrome type IV, somatic",NRAS
"Epidermal nevus, somatic",NRAS
"Melanocytic nevus syndrome, congenital, somatic",NRAS
"Neurocutaneous melanosis, somatic",NRAS
Noonan syndrome 6,NRAS
"Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic","NRAS,HRAS,KRAS"
"Thyroid carcinoma, follicular, somatic","NRAS,HRAS"
"{Osteoporosis, early-onset, susceptibility to, autosomal dominant}",WNT1
"Osteogenesis imperfecta, type XV",WNT1
Feingold syndrome 1,MYCN
"?Arthrogryposis, distal, type 11",MET
"?Deafness, autosomal recessive 97",MET
"{Osteofibrous dysplasia, susceptibility to}",MET
"Hepatocellular carcinoma, childhood type, somatic",MET
"Renal cell carcinoma, papillary, 1, familial and somatic",MET
"?Visceral neuropathy, familial, 2, autosomal recessive",ERBB2
"Glioblastoma, somatic",ERBB2
"Rett syndrome, congenital variant",FOXG1
Immunodeficiency 92,REL
"Gastrointestinal stromal tumor, familial",KIT
"Germ cell tumors, somatic",KIT
"Mastocytosis, cutaneous",KIT
"Mastocytosis, systemic, somatic",KIT
Piebaldism,KIT
"Deafness, congenital with inner ear agenesis, microtia, and microdontia",FGF3
Liposarcoma,LPSA
"Robinow syndrome, autosomal dominant 1",WNT5A
"Thyroid hormone metabolism, abnormal, 3",TRU-TCA1-1
Lymphatic malformation 14,ERG
"Autoinflammatory disease, systemic, with vasculitis",LYN
"Agammaglobulinemia 10, autosomal dominant",SPI1
Trichomegaly,FGF5
Radioulnar synostosis with amegakaryocytic thrombocytopenia 2,MECOM
"Polydactyly, postaxial, type A8",GLI1
"Polydactyly, preaxial I",GLI1
Culler-Jones syndrome,GLI2
Holoprosencephaly 9,GLI2
Greig cephalopolysyndactyly syndrome,GLI3
Pallister-Hall syndrome,GLI3
"Polydactyly, postaxial, types A1 and B",GLI3
"Polydactyly, preaxial, type IV",GLI3
?Tetra-amelia syndrome 1,WNT3
?Juvenile myelomonocytic leukemia,CBL
Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia,CBL
"Ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies, somatic mosaic",RHOA
Bachmann-Bupp syndrome,ODC1
"Glomerulosclerosis, focal segmental, 7",PAX2
Papillorenal syndrome,PAX2
Congenital myopathy 19,PAX7
"Rhabdomyosarcoma 2, alveolar","PAX7,PAX3"
Otofaciocervical syndrome 2,PAX1
"{Diabetes mellitus, ketosis-prone, susceptibility to}",PAX4
"Diabetes mellitus, type 2",PAX4
"Maturity-onset diabetes of the young, type IX",PAX4
"{Leukemia, acute lymphoblastic, susceptibility to, 3}",PAX5
"Hypothyroidism, congenital, due to thyroid dysgenesis or hypoplasia",PAX8
"Tooth agenesis, selective, 3",PAX9
Agnathia-otocephaly complex,PRRX1
"{Fibrocalculous pancreatic diabetes, susceptibility to}",SPINK1
"Pancreatitis, hereditary","SPINK1,PRSS1"
Tropical calcific pancreatitis,SPINK1
"Hypoparathyroidism, familial isolated 1",PTH
"{Colorectal cancer, susceptibility to}","CCND1,TLR2"
"{Multiple myeloma, susceptibility to}",CCND1
"{von Hippel-Lindau syndrome, modifier of}",CCND1
"Chondrodysplasia, Blomstrand type",PTH1R
Eiken syndrome,PTH1R
"Failure of tooth eruption, primary",PTH1R
"Metaphyseal chondrodysplasia, Murk Jansen type",PTH1R
"Brachydactyly, type E2",PTHLH
"{Coronary artery spasm 2, susceptibility to}",PON1
{Microvascular complications of diabetes 5},PON1
"{Organophosphate poisoning, sensitivity to}",PON1
"Blistering, acantholytic, of oral and laryngeal mucosa",DSG3
"Bare lymphocyte syndrome, type I","TAP1,TAPBP"
"Bare lymphocyte syndrome, type I, due to TAP2 deficiency",TAP2
Aplastic anemia,"PRF1,NBN"
"Hemophagocytic lymphohistiocytosis, familial, 2",PRF1
"Lymphoma, non-Hodgkin",PRF1
"Nephrotic syndrome, type 17",NUP85
"Lipodystrophy, familial partial, type 4",PLIN1
"{Amyotrophic lateral sclerosis, susceptibility to}","PRPH,DCTN1"
"Charcot-Marie-Tooth disease, demyelinating, type 1G",PMP2
Peroxisome biogenesis disorder 5A (Zellweger),PEX2
Peroxisome biogenesis disorder 5B,PEX2
"?Bile acid synthesis defect, congenital, 5",ABCD3
{Colchicine resistance},ABCB1
{Inflammatory bowel disease 13},ABCB1
"Cholestasis, intrahepatic, of pregnancy, 3",ABCB4
"Cholestasis, progressive familial intrahepatic 3",ABCB4
Gallbladder disease 1,ABCB4
Spondyloenchondrodysplasia with immune dysregulation,ACP5
?Lysosomal acid phosphatase deficiency,ACP2
"Hypophosphatasia, adult",ALPL
"Hypophosphatasia, childhood",ALPL
"Hypophosphatasia, infantile",ALPL
Odontohypophosphatasia,ALPL
"?Agammaglobulinemia 7, autosomal recessive",PIK3R1
Immunodeficiency 36,PIK3R1
SHORT syndrome,PIK3R1
"Cerebral cavernous malformations 4, somatic",PIK3CA
"CLAPO syndrome, somatic",PIK3CA
"CLOVE syndrome, somatic",PIK3CA
Cowden syndrome 5,PIK3CA
"Keratosis, seborrheic, somatic",PIK3CA
"Macrodactyly, somatic",PIK3CA
"Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic",PIK3CA
Hemolytic anemia due to phosphofructokinase deficiency,PFKL
"Congenital disorder of glycosylation, type It",PGM1
Immunodeficiency 23,PGM3
"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",GPI
"Cardiomyopathy, dilated, 1P",PLN
"Cardiomyopathy, hypertrophic, 18",PLN
"{?Colorectal cancer, susceptibility to}",PLA2G2A
"?Immune dysregulation, autoimmunity, and autoinflammation",PLCG1
?Phosphoribosylaminoimidazole carboxylase deficiency,PAICS
Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia,MTHFD1
Glycogen storage disease IXc,PHKG2
Phosphoserine phosphatase deficiency,PSPH
"Phosphorylase kinase deficiency of liver and muscle, autosomal recessive",PHKB
"Osteogenesis imperfecta, type VI",SERPINF1
"Pituitary hormone deficiency, combined or isolated, 1",POU1F1
"{Encephalopathy, acute, infection-induced, susceptibility to, 12}",RNH1
"?Deafness, autosomal recessive 91",SERPINB6
?Arrhythmogenic right ventricular dysplasia 12,JUP
Naxos disease,JUP
"{Diabetes mellitus, non-insulin-dependent, susceptibility to}",ENPP1
"Arterial calcification, generalized, of infancy, 1",ENPP1
Cole disease,ENPP1
"Hypophosphatemic rickets, autosomal recessive, 2",ENPP1
"Angioedema, hereditary, 4",PLG
Dysplasminogenemia,PLG
"Plasminogen deficiency, type I",PLG
"{Transcription of plasminogen activator inhibitor, modulator of}",SERPINE1
Plasminogen activator inhibitor-1 deficiency,SERPINE1
"Basal ganglia calcification, idiopathic, 4",PDGFRB
Kosaki overgrowth syndrome,PDGFRB
Myeloproliferative disorder with eosinophilia,PDGFRB
"Myofibromatosis, infantile, 1",PDGFRB
"Premature aging syndrome, Penttinen type",PDGFRB
"Bleeding disorder, platelet-type, 24, autosomal dominant",ITGB3
Glanzmann thrombasthenia 2,ITGB3
"Purpura, posttransfusion",ITGB3
"Thrombocytopenia, neonatal alloimmune",ITGB3
"Gastrointestinal stromal tumor/GIST-plus syndrome, somatic or familial",PDGFRA
"Hypereosinophilic syndrome, idiopathic, resistant to imatinib",PDGFRA
"{Coronary heart disease, susceptibility to, 7}",CD36
"{Malaria, cerebral, reduced risk of}",CD36
Platelet glycoprotein IV deficiency,CD36
"Bernard-Soulier syndrome, type C",GP9
Polycystic kidney disease 2,PKD2
"{Colorectal cancer, susceptibility to, 10}",POLD1
"Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome",POLD1
"{Colorectal cancer, susceptibility to, 12}",POLE
FILS syndrome,POLE
IMAGE-I syndrome,POLE
Mitochondrial DNA depletion syndrome 4A (Alpers type),POLG
Mitochondrial DNA depletion syndrome 4B (MNGIE type),POLG
Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE),POLG
"Progressive external ophthalmoplegia, autosomal dominant 1",POLG
"Progressive external ophthalmoplegia, autosomal recessive 1",POLG
Developmental and epileptic encephalopathy 103,KCNC2
"Epilepsy, progressive myoclonic 7",KCNC1
Episodic ataxia/myokymia syndrome,KCNA1
Jervell and Lange-Nielsen syndrome 2,KCNE1
Long QT syndrome 5,KCNE1
Developmental and epileptic encephalopathy 32,KCNA2
Spinocerebellar ataxia 13,KCNC3
"Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum",KCNA4
"Atrial fibrillation, familial, 7",KCNA5
[Dystransthyretinemic hyperthyroxinemia],TTR
"Amyloidosis, hereditary, transthyretin-related",TTR
"Carpal tunnel syndrome, familial",TTR
"Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay",PBX1
Amyotrophic lateral sclerosis 18,PFN1
Primordial dwarfism-immunodeficiency-lipodystrophy syndrome,PRIM1
"{Kuru, susceptibility to}",PRNP
"Cerebral amyloid angiopathy, PRNP-related",PRNP
Creutzfeldt-Jakob disease,PRNP
Gerstmann-Straussler disease,PRNP
Huntington disease-like 1,PRNP
"Insomnia, fatal familial",PRNP
Spongiform encephalopathy with neuropsychiatric features,PRNP
"{Breast cancer, susceptibility to}","PHB1,RAD51,XRCC3,HMMR,BARD1,ATM"
"Diabetes mellitus, insulin-dependent, 2",INS
"Diabetes mellitus, permanent neonatal 4",INS
Hyperproinsulinemia,INS
"Maturity-onset diabetes of the young, type 10",INS
?Ataxia-telangiectasia-like disorder 2,PCNA
Hyperprolactinemia,PRLR
Multiple fibroadenomas of the breast,PRLR
"Methylmalonic aciduria and homocystinuria, cblC type, digenic",PRDX1
Cole-Carpenter syndrome 1,P4HB
"Leukemia, acute promyelocytic, PL2F/RARA type",ZBTB16
"{Parkinson disease 24, autosomal dominant, susceptibility to}",PSAP
Combined SAP deficiency,PSAP
"Gaucher disease, atypical",PSAP
"Krabbe disease, atypical",PSAP
Metachromatic leukodystrophy due to SAP-b deficiency,PSAP
"{Asthma, aspirin-induced, susceptibility to}","PTGER2,TBX21"
"{Obesity, early-onset, susceptibility to}",POMC
"Obesity, adrenal insufficiency, and red hair due to POMC deficiency",POMC
Proteasome-associated autoinflammatory syndrome 5,PSMB10
Dystonia 33,EIF2AK2
"Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome",EIF2AK2
Cardiofaciocutaneous syndrome 3,MAP2K1
"Melorheostosis, isolated, somatic mosaic",MAP2K1
LEOPARD syndrome 1,PTPN11
"Leukemia, juvenile myelomonocytic, somatic","PTPN11,ARHGAP26"
Metachondromatosis,PTPN11
Noonan syndrome 1,PTPN11
"Thrombophilia 5 due to protein S deficiency, autosomal dominant",PROS1
"Thrombophilia 5 due to protein S deficiency, autosomal recessive",PROS1
"{Insulin resistance, susceptibility to}",PTPN1
Cardioacrofacial dysplasia 2,PRKACB
"?Bleeding disorder, platelet-type, 19",PRKACG
"Aortic aneurysm, familial thoracic 8",PRKG1
[Protein Z deficiency],PROZ
Marbach-Schaaf neurodevelopmental syndrome,PRKAR1B
Houge-Janssens syndrome 3,PPP2CA
"{Pregnancy loss, recurrent, susceptibility to, 2}",F2
"{Stroke, ischemic, susceptibility to}","F2,F5"
Dysprothrombinemia,F2
Hypoprothrombinemia,F2
Thrombophilia 1 due to thrombin defect,F2
Immunodeficiency 35,TYK2
"?Scaphocephaly, maxillary retrusion, and impaired intellectual development",FGFR2
Antley-Bixler syndrome without genital anomalies or disordered steroidogenesis,FGFR2
Apert syndrome,FGFR2
Beare-Stevenson cutis gyrata syndrome,FGFR2
Bent bone dysplasia syndrome,FGFR2
Craniofacial-skeletal-dermatologic dysplasia,FGFR2
"Craniosynostosis, nonspecific",FGFR2
Crouzon syndrome,FGFR2
LADD syndrome 1,FGFR2
Saethre-Chotzen syndrome,FGFR2
Scaphocephaly and Axenfeld-Rieger anomaly,FGFR2
"Cataract 6, multiple types",EPHA2
"Autoimmune disease, multisystem, infantile-onset, 2",ZAP70
Immunodeficiency 48,ZAP70
Noonan syndrome 13,MAPK1
"Pituitary tumor, invasive",PRKCA
"Autoimmune lymphoproliferative syndrome, type III",PRKCD
Spinocerebellar ataxia 14,PRKCG
"?Proteasome-associated autoinflammatory syndrome 3, digenic",PSMB9
Proteasome-associated autoinflammatory syndrome 1 and digenic forms,PSMB8
Polycystic liver disease 1,PRKCSH
"Spherocytosis, type 5",EPB42
Ayme-Gripp syndrome,MAF
"Cataract 21, multiple types",MAF
"{Apnea, postanesthetic, susceptibility to, due to BCHE deficiency}",BCHE
Butyrylcholinesterase deficiency,BCHE
"Surfactant metabolism dysfunction, pulmonary, 2",SFTPC
Interstitial lung disease 1,SFTPA1
